"","Replicate","Batch.x","Threshold","PC1","PC2","Stress","Sample","Condition","Batch.y","Batch2","AB","Bacs","file_ID","Replicate_Number"
"66","bE.A.4","w/o Batch",0,7.72568197643161,-0.854748663213487,10.4953061044631,"G05290","bE.A","b","b","yes","bac","G05290_salmon",4
"67","bE.A.4","with Batch",1,-8.5015997674968,1.48426920834849,9.74281922430515,"G05290","bE.A","b","b","yes","bac","G05290_salmon",4
"68","bE.A.4","w/o Batch",1,7.83858748917266,-0.918554721808202,10.3290309838624,"G05290","bE.A","b","b","yes","bac","G05290_salmon",4
"69","bE.A.4","with Batch",3,-8.4839440671619,1.48384509365977,9.84793335279049,"G05290","bE.A","b","b","yes","bac","G05290_salmon",4
"70","bE.A.4","w/o Batch",3,7.85106570233462,-0.991528599324821,10.5206950795363,"G05290","bE.A","b","b","yes","bac","G05290_salmon",4
"71","bE.A.4","with Batch",10,-8.49248601446943,1.48188932492424,9.70443239753736,"G05290","bE.A","b","b","yes","bac","G05290_salmon",4
"72","bE.A.4","w/o Batch",10,7.5955428716332,-1.11490116617307,10.1965163307837,"G05290","bE.A","b","b","yes","bac","G05290_salmon",4
"73","bE.A.5","with Batch",0,-2.43976128095466,1.29913118030053,9.75993138621074,"G05292","bE.A","b","f","yes","bac","G05292_salmon",5
"74","bE.A.5","w/o Batch",0,2.02769890824186,-1.68223321754295,10.4953061044631,"G05292","bE.A","b","f","yes","bac","G05292_salmon",5
"75","bE.A.5","with Batch",1,-2.41583066108984,1.31615906551879,9.74281922430515,"G05292","bE.A","b","f","yes","bac","G05292_salmon",5
"76","bE.A.5","w/o Batch",1,1.99194436409128,-1.57308783412469,10.3290309838624,"G05292","bE.A","b","f","yes","bac","G05292_salmon",5
"77","bE.A.5","with Batch",3,-2.36369268589619,1.38452341233859,9.84793335279049,"G05292","bE.A","b","f","yes","bac","G05292_salmon",5
"78","bE.A.5","w/o Batch",3,1.98542769027098,-1.71765591950673,10.5206950795363,"G05292","bE.A","b","f","yes","bac","G05292_salmon",5
"79","bE.A.5","with Batch",10,-2.629047736013,1.46889752777786,9.70443239753736,"G05292","bE.A","b","f","yes","bac","G05292_salmon",5
"80","bE.A.5","w/o Batch",10,2.22735552784183,-1.67886837205526,10.1965163307837,"G05292","bE.A","b","f","yes","bac","G05292_salmon",5
"81","bJ.A.1","with Batch",0,-3.41316214154714,-0.446455443979414,9.75993138621074,"G05273","bJ.A","a","a","yes","bac","G05273_salmon",1
"82","bJ.A.1","w/o Batch",0,4.22117033047201,0.404754051360476,10.4953061044631,"G05273","bJ.A","a","a","yes","bac","G05273_salmon",1
"83","bJ.A.1","with Batch",1,-3.12891854441201,-0.423547117801515,9.74281922430515,"G05273","bJ.A","a","a","yes","bac","G05273_salmon",1
"84","bJ.A.1","w/o Batch",1,4.28231456697446,0.539156516655482,10.3290309838624,"G05273","bJ.A","a","a","yes","bac","G05273_salmon",1
"85","bJ.A.1","with Batch",3,-3.36380987156154,-0.465751754537314,9.84793335279049,"G05273","bJ.A","a","a","yes","bac","G05273_salmon",1
"86","bJ.A.1","w/o Batch",3,4.19213240382764,0.263057843253573,10.5206950795363,"G05273","bJ.A","a","a","yes","bac","G05273_salmon",1
"87","bJ.A.1","with Batch",10,-3.06942163244878,-0.308590090557053,9.70443239753736,"G05273","bJ.A","a","a","yes","bac","G05273_salmon",1
"88","bJ.A.1","w/o Batch",10,4.50278781503306,-0.740191481429259,10.1965163307837,"G05273","bJ.A","a","a","yes","bac","G05273_salmon",1
"89","bJ.A.2","with Batch",0,0.738548461753096,-4.81476039336012,9.75993138621074,"G05278","bJ.A","a","e","yes","bac","G05278_salmon",2
"90","bJ.A.2","w/o Batch",0,-0.295754066182068,-4.50094240046125,10.4953061044631,"G05278","bJ.A","a","e","yes","bac","G05278_salmon",2
"91","bJ.A.2","with Batch",1,0.7766317436002,-4.92289068933095,9.74281922430515,"G05278","bJ.A","a","e","yes","bac","G05278_salmon",2
"92","bJ.A.2","w/o Batch",1,-0.274763613224326,-4.36416987998262,10.3290309838624,"G05278","bJ.A","a","e","yes","bac","G05278_salmon",2
"93","bJ.A.2","with Batch",3,0.795481935750807,-5.05577793173411,9.84793335279049,"G05278","bJ.A","a","e","yes","bac","G05278_salmon",2
"94","bJ.A.2","w/o Batch",3,-0.188126344835477,-4.56175361854211,10.5206950795363,"G05278","bJ.A","a","e","yes","bac","G05278_salmon",2
"95","bJ.A.2","with Batch",10,0.740778574931034,-5.13014816891037,9.70443239753736,"G05278","bJ.A","a","e","yes","bac","G05278_salmon",2
"96","bJ.A.2","w/o Batch",10,-0.415358823456486,-4.55204830789158,10.1965163307837,"G05278","bJ.A","a","e","yes","bac","G05278_salmon",2
"97","bJ.A.3","with Batch",0,2.09580455037419,-4.93287038464196,9.75993138621074,"G05285","bJ.A","b","c","yes","bac","G05285_salmon",3
"98","bJ.A.3","w/o Batch",0,2.91307494079967,-2.75815262948801,10.4953061044631,"G05285","bJ.A","b","c","yes","bac","G05285_salmon",3
"99","bJ.A.3","with Batch",1,2.07736791042745,-4.90708197288038,9.74281922430515,"G05285","bJ.A","b","c","yes","bac","G05285_salmon",3
"100","bJ.A.3","w/o Batch",1,3.01164441109738,-2.75973194021573,10.3290309838624,"G05285","bJ.A","b","c","yes","bac","G05285_salmon",3
"101","bJ.A.3","with Batch",3,2.22089865803967,-4.6500670879585,9.84793335279049,"G05285","bJ.A","b","c","yes","bac","G05285_salmon",3
"102","bJ.A.3","w/o Batch",3,3.06321035224161,-2.70726561763137,10.5206950795363,"G05285","bJ.A","b","c","yes","bac","G05285_salmon",3
"103","bJ.A.3","with Batch",10,2.40304667587285,-4.71184461864966,9.70443239753736,"G05285","bJ.A","b","c","yes","bac","G05285_salmon",3
"104","bJ.A.3","w/o Batch",10,2.93807280410439,-2.83189748297506,10.1965163307837,"G05285","bJ.A","b","c","yes","bac","G05285_salmon",3
"105","bJ.A.4","with Batch",0,3.2744399690058,-2.89063339356094,9.75993138621074,"G05288","bJ.A","b","f","yes","bac","G05288_salmon",4
"106","bJ.A.4","w/o Batch",0,-3.94457473888029,-6.32609676072871,10.4953061044631,"G05288","bJ.A","b","f","yes","bac","G05288_salmon",4
"107","bJ.A.4","with Batch",1,3.31267139990922,-2.83527481631697,9.74281922430515,"G05288","bJ.A","b","f","yes","bac","G05288_salmon",4
"108","bJ.A.4","w/o Batch",1,-4.00826955627598,-6.28538722385148,10.3290309838624,"G05288","bJ.A","b","f","yes","bac","G05288_salmon",4
"109","bJ.A.4","with Batch",3,3.29723189205357,-2.80706921202829,9.84793335279049,"G05288","bJ.A","b","f","yes","bac","G05288_salmon",4
"110","bJ.A.4","w/o Batch",3,-4.05095938506988,-6.4533360103993,10.5206950795363,"G05288","bJ.A","b","f","yes","bac","G05288_salmon",4
"111","bJ.A.4","with Batch",10,3.32870869585333,-2.93308042541477,9.70443239753736,"G05288","bJ.A","b","f","yes","bac","G05288_salmon",4
"112","bJ.A.4","w/o Batch",10,-4.02186627638832,-6.21384531801631,10.1965163307837,"G05288","bJ.A","b","f","yes","bac","G05288_salmon",4
"113","bJ.A.5","with Batch",0,-3.36612788038862,0.927597061835757,9.75993138621074,"G05294","bJ.A","b","d","yes","bac","G05294_salmon",5
"114","bJ.A.5","w/o Batch",0,1.68920845892611,0.172808833628081,10.4953061044631,"G05294","bJ.A","b","d","yes","bac","G05294_salmon",5
"115","bJ.A.5","with Batch",1,-3.38898784825993,0.799619113318022,9.74281922430515,"G05294","bJ.A","b","d","yes","bac","G05294_salmon",5
"116","bJ.A.5","w/o Batch",1,1.62797414158015,0.256634470479866,10.3290309838624,"G05294","bJ.A","b","d","yes","bac","G05294_salmon",5
"117","bJ.A.5","with Batch",3,-3.34457203179689,0.875266007736393,9.84793335279049,"G05294","bJ.A","b","d","yes","bac","G05294_salmon",5
