"","Condition_GF_vs_wt","Condition_GF_vs_bA.A","Condition_GF_vs_bJ.A","Condition_GF_vs_bE.A","Condition_bA.A_vs_wt","Condition_bJ.A_vs_wt","Condition_bE.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_GF","Condition_bE.A_bJ.A_bA.A_vs_GF_wt"
"NVE145",0,0,0,0,0,0,0,0,0,0
"NVE146",0,0,0,0,0,0,0,0,0,0
"NVE147",0,0,0,0,0,0,0,-0.789268750468467,0,-0.990731714406502
"NVE148",0,0,0,0,0,0,0,0,0,0
"NVE149",0,0,0,0,0,0,0,0,0,0
"NVE150",-1.6280999757121,0,0,0,-1.42064300068209,-1.44325905141596,-1.58380438125262,-2.01738351600597,0,-1.60444499896621
"NVE151",0,0,0,0,0,0,0,0,0,0
"NVE153",0,0,0,0,0,0,0,0,0,0
"NVE154",0,0,0,0,0,0,0,0,0.201587138701985,0
"NVE155",0,0,0,0,0.376511943716656,0,0.40649107016792,0.539729105293183,0,0.582958062892112
"NVE156",0,0,0,0,0,0.283979145403752,0,0.303018891520479,0,0
"NVE157",0,0,0,0,0.297556485826461,0,0,0,0,0
"NVE158",0,0,0,0,0,0,0,0,0,0
"NVE159",0.777702352377235,0,0,0,0.4916538457697,0,0.538766609020183,0,0,0
"NVE160",0.727452653777065,0,0,0,0.598513317830099,0,0.768193978479442,0.787735684778987,0,0
"NVE161",0.844113100458361,0,0,0,0.660256470204484,0.473906756332491,0.729730393583921,0.78069146121915,0,0
"NVE162",0,0,0,0,0,0,0,0,0,0
"NVE163",0,0,0,0,0,0,0,0,0,0
"NVE164",0.882792797766607,0.464186047604491,1.16167241651042,1.95016241955744,0.418606750162115,0,-1.06736962179083,-0.909702245720038,-1.79249504348665,-1.80146516581289
"NVE165",0,0,0,0,0,0,-0.693664563284624,0,0,0
"NVE166",0,0,0,0,-0.589256795443572,0,0,0,0,0
"NVE167",0,0,0,0,0,0,0,0,0,0
"NVE168",0,-0.349360633494718,0,-0.298901017214301,0.522282663800463,0.38665351837369,0.471823047520046,0.759287306373684,0.586365276067939,0.897101237728196
"NVE169",0,0,0,0,0,0,0,0,0,0
"NVE170",0,0,0,0,0,0,0,0,0,0
"NVE171",0,0,0,0,0,0,0,0,0,0
"NVE172",0,0,0,0,0.347391194171331,0,0.296206540099562,0.421300090168771,0.377324000331749,0.532415664118409
"NVE173",0,-0.440448824939937,0,0,0.568899816534086,0,0.412503611848384,0.726576541885053,0.598125550290905,0.883134374487223
"NVE174",0,0,0,0,0,0,0,0,0,0
"NVE175",0,0,0,0,0,0,0,0,0,0
"NVE176",0,0,0,0,-0.766001051817931,-0.589142229674102,-0.607810394173855,-1.03184822667998,-0.667039634721282,-1.13259235921424
"NVE177",0,0,0,0,-0.565237458039113,0,0,-0.704385321085424,0,0
"NVE178",0,0,0,0,0,0,0,0,0,0
"NVE179",0,0,0,0,0,0,0,0,0,0
"NVE180",0,0,0,0,0,0,0,0,0,0
"NVE181",0,0,0,0,-0.5952374353912,0,-0.542410904208837,-0.744279229428164,-0.572356229842798,-0.877757248663597
"NVE182",0,0,0,0,0,0,0,-0.660016997649387,0,0
"NVE183",0,0,0,0,0,0,0,0,0,0
"NVE184",0,0,0,0,0,0,0,0,0,0
"NVE185",0,0,0,0,0,0,0,0,0,0
"NVE186",0,0,0,0,0,0,0,0,0,0
"NVE187",0,0,0,0,0,0,0,0,0,0
"NVE188",0,0,0,0,0,0,0,0,0,0
"NVE189",0,0,0,0,0,0,0,0,0,0
"NVE190",0.344585437096312,0,0,0,0.490379578500897,0,0.467462744259482,0.58487461724189,0,0.550108784119867
"NVE191",-0.463482123293106,0,0,0,-0.464822296427285,-0.364021664637282,-0.308392766706229,-0.496948731974764,0,0
"NVE192",0,0,0,0,0,0,0,0,0,0
"NVE193",-0.425301104152946,0,0,0.480904565916173,-0.782400141187266,-0.763353795813796,-0.90620567006912,-1.30105489377697,-0.875753789624028,-1.45120614627063
"NVE194",0,0,0,0,0,0,0,0,0,0
"NVE195",0,0,0,0,0,0,0,0,0,0
"NVE196",0,-0.322390969737403,0,0,0.290860537759986,0,0,0,0,0
"NVE197",0,0,0,0,0,0,0,0,0,0
"NVE198",0,0,0,0,0,0,0,0,0,0
"NVE199",0,0,0,0,0,0,0,0,0,0
"NVE200",0,0,0,0,0,0,0,0,0,0
"NVE201",0,0,0,0,0,0,0,0,0,0
"NVE202",0,0,0,0,-0.483539420777166,0,0,0,0,0
"NVE203",0,0,0,0,-0.489138368490214,0,0,0,0,0
"NVE204",0,0,0,0,0,0,0,0,0,0
"NVE205",0,0,0,0,0,0,0,0,0,0
"NVE206",0,0,0,0,0,0,0,0,0,0
"NVE207",0,0,0,0,0,0,0,0,0,0
"NVE208",0,0,0,0,0.39364264449174,0,0,0,0,0
"NVE209",0,0,0,0,0.236483388845404,0.271396494502406,0,0.318794247188453,0,0.3527572199785
"NVE210",0,0,0,0,0,0,0,0,0,0
"NVE211",0,0,0,0,0,0,-0.374166848387491,0,0,0
"NVE212",0,0,0,0,0,0,0,0,0,0
"NVE213",0.463493784004944,0,0,0,0.573344939509888,0,0.464189541813016,0.591088909181884,0,0
"NVE214",0,0,0,0,0,0,0,0,0,0
"NVE215",0,0,0,0,0,0,0,0,0,0
"NVE216",0.612405854330547,0,0,0,0.591492848323775,0.380473903826817,0.510100459539996,0.644278393927197,0,0
"NVE217",0,0,0,0,0,0,0,0.415756923856699,0.498641018717098,0.609598303600717
"NVE218",0,0,0,0,0,0,0,0,0,0
"NVE219",0,0,0,0,0,0,0,0,0,0
"NVE220",0,0,0,0,0,0,0,0,0,0
"NVE221",-0.604070933803379,0.760611058713732,0,0,-1.36468199251711,-0.892397411785202,-1.05700114636443,-1.74681951062999,-1.14274857682661,-1.92637909684499
"NVE222",0,0,0,0,0.576827359559107,0,0.404240769387292,0.596845057617582,0,0.60483960611149
"NVE223",-0.23464985846034,0,0,-0.277024628408648,0,0,0,0,0.275120831835405,0
"NVE224",0,0,0,0,0.493190547507904,0,0,0.545771947430619,0,0.67650779007235
"NVE225",0,0,0,0,0,0,0,0,0,0
"NVE226",0,0,0,0,0.466193148990746,0.58428635669898,0.54108304234716,0.880797667433797,0.695446639872453,1.050829080174
"NVE227",0,0,0,0,0.512237745431562,0.520968337255167,0.460913715728187,0.750920902349343,0,0.758641984805849
"NVE228",0,0,0,0,0.339990852876705,0,0,0,0,0
"NVE229",0,0,0,0,0,0,0,0,0,0
"NVE230",0,0,0,0,0,0,0,0,0,0
"NVE231",0,0,0,0,0,0,0,0,0,0
"NVE232",0,0,0,0,0,0,0,0,0,0
"NVE233",0,0,0,0,0.274296662090174,0,0,0,0,0
"NVE234",0,0,0,0,0.494612279618947,0.296871783102437,0.459854183452128,0.655301505123497,0.416546557266298,0.714564927791305
"NVE235",0,0,0,0,0,0,0,0,0,0
"NVE236",0,0,0,0,0,0,0,0,0,0
"NVE237",0,0,0,0,0,0,0,-0.634906672246276,0,-0.714667735112647
"NVE238",0.514369952550906,0,0,0,0.545162123904795,0.326841387652423,0.519102980739504,0.628916311225601,0,0.495641449210256
"NVE239",0,0.328892896373302,0,0,-0.435904509123272,-0.251756597852637,-0.315970379099615,-0.559373862968821,-0.452362250218852,-0.674491061772203
"NVE240",0,0,0,0,0,0,0,0,0,0
"NVE241",0,0,0,0,0,0,0,0,0,0
"NVE242",0.450834309774484,0,0,0,0.50043133036966,0.363581540178408,0.567698051085588,0.678693418576879,0,0.604367860330783
"NVE243",0,0,0,0,-0.259519842165844,0,0,0,0,0
"NVE244",-0.46284546596595,0,0,0,-0.499635386661543,0,-0.54297281477397,-0.670930863538311,0,-0.586011224823779
"NVE245",0,0,0,0,0,0,0,0,0,0
"NVE246",0,0,0,0,-0.320898122369199,0,0,-0.343209143519408,0,0
"NVE247",0,-0.278882476388981,0,0,0.31620536278593,0,0,0.390226948729437,0.352904062332487,0.495420286658643
"NVE248",0,0,0,0,0,0,-0.598063850737589,0,0,0
"NVE249",0,0,0,0,0,0,0,0,0,0
"NVE250",0,0,0,0,0.298139265877301,0,0.35058027071507,0.491558944149705,0,0.551640347855697
"NVE251",0.687897056553138,0,0,0,0.533496293809292,0,0,0.56607667086145,0,0
"NVE252",0.718781751506103,0,0,0,0.545727032747001,0,0.531574319488212,0.641423659605093,0,0
"NVE253",-0.707654062370978,0.985408215688456,0,0,-1.69306227805943,-0.82989211985481,-1.06144164255217,-1.86757545340956,-1.15992139103859,-2.01833168456701
"NVE254",-0.650011755085536,0.924999160427044,0,0,-1.57501091551258,-0.919523578439887,-1.33598788075018,-2.03830836922772,-1.38829661414219,-2.28440361687965
"NVE255",-0.57645124869479,0.941662381422474,0,0,-1.51811363011726,-0.679629241087787,-0.987887891024877,-1.68079748555432,-1.10434623685953,-1.85676287519733
"NVE256",0,0,0,0,0,0,0,0,0,0
"NVE257",0,0,0,0,0,0,0,0,0,0
"NVE258",0,0,0,0,0,0,0,0,0,0
"NVE259",0,0,0,0,0,0,0,0,0,0
"NVE260",0,0,0,0,0,0,0,0,0,0
"NVE261",0,0,0,0,0,0,0,0,0,0
"NVE262",0,0,0,0,0.523922041718457,0,0.468237097434417,0.632754241536848,0,0.696478715537991
"NVE263",0,0,0,0,0,0,0,0,0,0
"NVE264",0,0,0,0,0,0,0,0,0,0
"NVE265",0,0,0,0,0,0,0,0,0,0
"NVE266",0,0,0,0,0,0,0,0,0,0
"NVE267",0,0,0,0,0,0,0,0,0,0
"NVE268",0,0,0,0,-0.558197484742441,0,-0.429905386001196,-0.737026297731939,0,-0.798644122778666
"NVE269",0,0,0,0,-0.46219247956858,0,0,0,0,0
"NVE270",0,0,0,0,0,0,0,0,0,0
"NVE271",0,0,0,0,0,0,0,0,0,0
"NVE272",-1.60073658951289,0,0,0,-1.49549746128487,-1.36618123018071,-1.69002819249947,-2.09072920023,0,-1.72048145258463
"NVE273",0,0,0,0,0,0,0,0,0,0
"NVE274",0,0,0,0,0.469277733484755,0.374018790050914,0.513740123432288,0.733362451896884,0.531212492506513,0.84304959004205
"NVE275",0,0,0,0,0,0,0,0,0,0
"NVE276",0,0,0,0,0,0,0,0.634182594730385,0,0.864162746387665
"NVE277",0,0,0,0,0,0,0,0.526864287153958,0.540045295069251,0.711272774765918
"NVE278",0,0,0,0,0,0,0,0,0,0
"NVE279",0,0,0,0,0,0,0,0,0,0
"NVE280",0,0,0,0,0,0,0,0,0,0
"NVE281",0.968879587562161,0,0,0,0.935143181939816,0.582859035142463,0.796207399940861,1.00097440169184,0,0.68871242179533
"NVE282",0,-0.585174173640411,-0.514385184415777,-0.530607457045398,0.521163514243438,0.450374525018803,0.466596797648425,0.888485611672436,0.95249627106941,1.22732088368852
"NVE283",0,0,0,0,0,0,0,0,0,0
"NVE284",0,0,0,0,0,0,0,0,0,0
"NVE285",0,0,0,0,0,0,0,0,0,0
"NVE286",0,0,0,0,0,0,0,0,0,0
"NVE287",0.223943529240727,0,0,0,0.41602843444001,0.256309281932183,0.254435794301964,0.466487118461935,0.242543589221207,0.472686785327318
"NVE288",0,0,0,0,0,0,0,0,0,0
"NVE289",0,0,0,0,0.662229135105506,0,0.650362190696721,0.925662701561245,0,1.01620978332062
"NVE290",0,0,0,0,0,0,0.423175423245743,0.395525895741297,0,0
"NVE291",0,-0.355315082832751,0,0,0.516528786282341,0.322376326903485,0.372646266582494,0.662445815602899,0.501232112153309,0.775784894236019
"NVE292",0,0,0,0,0,0,0,0,0,0
"NVE293",-0.286194233039798,-0.391110893574541,0,0,0,0,0,0,0.388800436495049,0.327604097245607
"NVE294",0.940519274404446,0,0,0,0.77145032002255,0.669718389995813,0.625346231961029,0.863701606651963,0,0
"NVE295",0,0,0,0,-0.254740305955662,0,0,0,0,0
"NVE296",-0.359627325699338,0,0,0,-0.566632214646017,-0.377228349955171,-0.381859898914342,-0.651580876139003,0,-0.629023344127928
"NVE297",0,0,0,0,0,0,0,0,0,0
"NVE298",0,0,0,0,0.444524825610021,0,0,0.589348995707548,0.48720472549581,0.717702077374722
"NVE299",0,0,0,0,-0.291258726999277,0,0,0,0,0
"NVE300",0,0,0,0,0,0,0,0,0,0
"NVE301",0,0.624244639863008,0.666348571446138,0.877642993766297,-0.721623633935733,-0.763727565518863,-0.975021987839022,-1.43727190637825,-1.33989291230553,-1.85144355276321
"NVE302",0,0,0,0,0.529598400581651,0,0,0,0,0
"NVE303",0,0,0,0,0,0,0,0,0,0
"NVE304",0,0,0,0,-0.762566661031199,-0.49453560160682,-0.91027297207549,-1.12130700245685,-0.67351301043468,-1.19654712656301
"NVE305",0,0,0,0,-0.779356062311061,0,-0.683642022000524,-1.04104016348625,0,-1.10906813844326
"NVE306",0,0,0,0,0,0,0,0,0,0
"NVE307",0,0,0,0,0,0,0,0,0,0
"NVE308",0,0,0,0,0.479812917631363,0,0,0.475423974371431,0,0
"NVE309",0,0,0,0,0,0,0,0,0,0
"NVE310",0,0,0,0,0,0,0,0,0,0
"NVE311",0,0,0,0,0,0,0,0,0,0
"NVE312",0,0,0,0,0,0,0,0,0,0
"NVE313",0,0,0,0,0,0,0,0,0,0
"NVE314",0,0.594105286210962,0,0,0,0,0,-0.609610248611242,-0.767395210357421,-0.918003889462204
"NVE315",0,0,0,0,0,0,0,0,0,0
"NVE316",0,0,0,0,0,0,0,0,0,0
"NVE317",0,0,0,0,0,0,0,0,0,0
