"","Condition_GF_vs_wt","Condition_GF_vs_bA.A","Condition_GF_vs_bJ.A","Condition_GF_vs_bE.A","Condition_bA.A_vs_wt","Condition_bJ.A_vs_wt","Condition_bE.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_GF","Condition_bE.A_bJ.A_bA.A_vs_GF_wt"
"NVE158",0,0,0,0,0,0,0,0,0,0
"NVE159",1,0,0,0,1,0,1,0,0,0
"NVE160",1,0,0,0,1,0,1,1,0,0
"NVE161",1,0,0,0,1,1,1,1,0,0
"NVE162",0,0,0,0,0,0,0,0,0,0
"NVE163",0,0,0,0,0,0,0,0,0,0
"NVE164",1,1,1,1,1,0,1,1,1,1
"NVE165",0,0,0,0,0,0,1,0,0,0
"NVE166",0,0,0,0,1,0,0,0,0,0
"NVE167",0,0,0,0,0,0,0,0,0,0
"NVE168",0,1,0,1,1,1,1,1,1,1
"NVE169",0,0,0,0,0,0,0,0,0,0
"NVE170",0,0,0,0,0,0,0,0,0,0
"NVE171",0,0,0,0,0,0,0,0,0,0
"NVE172",0,0,0,0,1,0,1,1,1,1
"NVE173",0,1,0,0,1,0,1,1,1,1
"NVE174",0,0,0,0,0,0,0,0,0,0
"NVE175",0,0,0,0,0,0,0,0,0,0
"NVE176",0,0,0,0,1,1,1,1,1,1
"NVE177",0,0,0,0,1,0,0,1,0,0
"NVE178",0,0,0,0,0,0,0,0,0,0
"NVE179",0,0,0,0,0,0,0,0,0,0
"NVE180",0,0,0,0,0,0,0,0,0,0
"NVE181",0,0,0,0,1,0,1,1,1,1
"NVE182",0,0,0,0,0,0,0,1,0,0
"NVE183",0,0,0,0,0,0,0,0,0,0
"NVE184",0,0,0,0,0,0,0,0,0,0
"NVE185",0,0,0,0,0,0,0,0,0,0
"NVE186",0,0,0,0,0,0,0,0,0,0
"NVE187",0,0,0,0,0,0,0,0,0,0
"NVE188",0,0,0,0,0,0,0,0,0,0
"NVE189",0,0,0,0,0,0,0,0,0,0
