,G03278,G03279,G03280,G03281,G03282,G03283,G03284,G03285,G03286,G03287,G03288,G03289,G03290,G03291,G03292,G03303,G03304,G03305,G03306,G03307,G03308,G03309,G03310,G03311,G03312,G03313,G03314,G03315,G03316,G03317,G03318,G03324,G03325,G03326,G03327,G03328,G03329,G03330,G03331,G03332,G03333,G03334,G03335,G03336,G03337,G03338,G03344,G03345,G03346,G03347,G03348,G03349,G03350,G03351,G03352,G03353,G03354,G03355,G03356,G03357,G03358,G03369,G03370,G03371,G03372,G03373,G03374,G03375,G03376,G03377,G03378,G03379,G03380,G03381,G03382
cluster32,0,0.000238768,0,0,0.000138554,0.000107442,0.000202922,0.000239756,0.000134273,0.000152265,0.001086769,0.001049015,0.000430307,0.000199156,0.000793842,0,0,0,0,0,0,6.88E-05,0,0,0,0,0,0,0.000107003,0,0,0,0,0,0,0,0.000412238,6.75E-05,0.000147256,0,0.00017066,0,0,5.90E-05,0.000147982,0.000113141,0.000416132,0,0,0,0,8.30E-05,0,8.61E-05,0.000314793,0.000104998,0,0,4.26E-05,0,0,6.02E-05,0,0.000384411,0.00088893,0.000181152,0,0,0.000126653,0.000227382,0.000337731,0,0,0,0
cluster34,0.109556243,0.126427633,0.131376323,0.133158693,0.154127525,0.019805172,0.015805375,0.008511352,0.011715341,0.0137546,0.023340825,0.021924418,0.014895237,0.010913726,0.050180418,0.156079855,0.267755045,0.273205092,0.39556072,0.266215004,0.578886555,0.471692922,0.255215025,0.526410761,0.474722649,0.437378044,0.30978896,0.307176278,0.012278637,0.255199866,0.206843242,0.093276566,0.103986388,0.08066528,0.07740599,0.141914498,0.135272813,0.019047405,0.232131353,0.063048103,0.200696294,0.075297746,0.051931275,0.047092394,0.033029478,0.073937885,0.020687687,0.007805326,0.035942926,0.027248881,0.01012611,0.011570934,0.006521836,0.014610483,0.016708235,0.036303024,0.021220363,0.015585747,0.018945125,0.02236865,0.027056419,0.005628292,0.000843302,0.001389792,0.007064658,0.000986273,0.002613531,0.000406587,0.00271037,0.001136909,0.009366416,0.005974153,0.008441332,0.016541139,0.007665417
cluster35,0,0,0,0,0,0,0,0,0,0,0.000395189,0.000550733,0.000529608,0.000418227,0.000433005,0,0,0,0,0,0,0.00016051,0,0,0,0,0,0.000140932,0.000133754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000439911,0.000131182,0.000271267,0.00049749,0,0.000470588,0,0.001090763,0.000581156,0.001207476,0.000230935,0,0,0,0.000260994,0,0.000218634,8.87E-05,0.000421072,0,0.000222428,0,0.000177314,0,0.000135093,0,6.16E-05,0,0.000168471
cluster38,0.000619195,0.000477536,0.000378111,0.000685502,0.000471084,0.001002793,0.000202922,0.000743245,0.000234978,0.000228397,0,0,0,0,0,0.000341625,0.000275539,0.000143021,0.000142677,0.000224171,7.88E-05,0.00011465,0.000355415,0,0.000238949,0,0,0,0,0,0,0.020747336,0.00449684,0.001845114,0.008243675,0.000185874,0,0.000562202,0.000404955,0.000335858,0.000307188,0,0,0,0,0,0.004399106,0.010319647,0.003309462,0.005381937,0.001180344,0.000387543,0.000133553,0.000631494,0.000121074,0.000918732,0,0,0,0,0,0.006049661,0.001592904,0.000872317,0.001333396,0.00070448,0,0,0,7.58E-05,0,0,0,0,0
cluster39,0.002683179,0.002944805,0.006531005,0.003354062,0.002577105,0.001074422,0.000541126,0.000431562,0.000234978,0.00040604,0.002025341,0.000445831,0.000297905,0.00071696,0.006182343,0.002177858,0.001423618,0.000625715,0.000896824,0.001021221,0,0,0,0,0,0,0,0,0.004199882,0.000196221,0,0.001469603,0.003670394,0.001663202,0.002578791,0.00232342,0,0,0.000331327,0.000279882,0,0.002920043,0.000549025,0.005923448,0,0.000254568,0.007264469,0.01775329,0.010335286,0.013974945,0.008635149,0.000249135,0.000111294,0.00120558,0.001283386,0,0.023606692,0.000717765,0.003324454,0.000520201,0.00091348,0.015741159,0.013992566,0.021053877,0.020866473,0.020913007,0.000444856,0,0.000531942,0.000416867,0.00024767,0.011168008,0.002834316,0.013347316,0.001347766
cluster40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000465028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000194506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03E-05,0,0,0,0,0,0,0,0,0
cluster45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
